,control number,personal name,personal relationship
913,9992230546301488,"Sorbin, Arnaud",aut
914,9992230546901488,"Sorbin, Arnaud",aut
915,9992230547001488,"Sorbin, Arnaud",aut
916,9992234060901488,"Eck, Johann",aut
917,9992238571501488,"Cristi, Jean",edt
918,9992247500201488,"Genebrardus, Gilbertus",aui
919,9992249832101488,Euthymius Zygadenus.,aut
920,9992249880201488,"Antesignanus, Petrus",ann
921,9992249880301488,"Vives, Juan Luis",aut
923,9992253596701488,Luís de Granada,aut
924,9992259644401488,"de Berlaymont, Louis",aut
925,9992265001501488,Aristoteles.,aut
926,9992265109201488,Aristoteles.,aut
927,9992271898901488,"de la Bigne, Margarin",edt
928,9992300312801488,"Bonfigli, Niccolo",edt
929,9992301306401488,"Borrel, Jean",aut
930,9992302804901488,"Franco, Pierre.",aut
931,9992305398801488,"de Castro, Alphonsus",aut
932,9992312786601488,"Stella, Didacus",aut
933,9992316071501488,Aristoteles.,aut
934,9992324408301488,"de Muret, Marc-Antoine",edt
935,9992333442101488,"Lipsius, Justus",aut
936,9992333454901488,"Du Moulin, Charles",aut
937,9992337786401488,Cyrillus Alexandrinus,aut
938,9992338510001488,"Ayminius, Joannes",edt
939,9992344590201488,"de Nicolas, Jean",aut
940,9992344592201488,"Benoit, Jean",aut
941,9992344908401488,"Marabotto, Cattaneo",aut
942,9992355440901488,"Lopez, Luis",aut
943,9992361001601488,Catharina Genuensis,aut
944,9992362406001488,"Everardus, Nicolaus",aut
945,9992370209301488,"Tapperus, Ruardus",aut
946,9992382100601488,"Hall, Richard",aut
947,9992383276001488,"Gonzaga, Francesco",oth
948,9992389307101488,Petrus de Aquila,aut
949,9992389704901488,"Flavius, Melchior",aut
950,9992389705001488,"Flavius, Melchior",aut
951,9992389706401488,"Flavius, Melchior",aut
952,9992391109301488,"Giorgio, Francesco",aut
953,9992394303401488,"Anglés, José",aut
954,9992394307601488,"Rioche, Johannes",aut
955,9992394310001488,"Flavius, Melchior",aut
956,9992395105001488,"Cumiranus, Seraphinus",aut
957,9992403396001488,"Chappuys, Gabriel",trl
958,9992407822201488,"Titelmannus, Franciscus",bsl
959,9992408052701488,"Augustinus, Aurelius",aut
960,9992408053101488,"Erasmus Roterodamus, Desiderius",aut
961,9992408469101488,"Antesignanus, Petrus",edt
962,9992409001101488,"Clenardus, Nicolaus",pub
963,9992415384801488,"Guénois, Pierre",aut
964,9992425804801488,"Benoit, Jean",aut
965,9992425973101488,Thomas Aquinas,aut
966,9992425975001488,"Mazzolini, Silvestro",aut
967,9992447109801488,Justinianus,com
968,9992447109901488,Accursius,ann
969,9992447687601488,Dionysius Carthusianus,ctb
970,9992457705501488,Theophrastus,aow
971,9992464489601488,"Tertullianus, Quintus Septimus Florens",aut
972,9992467208001488,Petrus Lombardus,aut
973,9992467809801488,Dionysius Carthusianus,aut
974,9992475610101488,Dionysius Areopagita,aut
975,9992481407901488,"de la Vega, Diego",aut
976,9992483004401488,"Sauvage, Denis",edt
977,9992485007701488,Dionysius Halicarnassensis,aut
978,9992486209901488,"Durantis, Guilelmus",aut
979,9992494395901488,"Calepinus, Ambrosius",aut
980,9992494808101488,"Porthaise, Jean",aut
981,9992500608701488,"Cicero, Marcus Tullius",aut
982,9992553009201488,"Ayrault, Pierre",aut
983,9992558508801488,"Bodin, Jean",aut
986,9992569708901488,"Duret, Jean",aut
987,9992569709401488,"Duret, Jean",aut
988,9992586193001488,"de la Vega, Diego",aut
989,9992595108301488,"de Torquemada, Juan",aut
991,9992595109401488,Luís de Granada,com
992,9992596407601488,"Le Caron, Louis",aut
993,9992596407701488,"Novellus, Jacobus",aut
994,9992596408101488,"Novellus, Jacobus",aut
995,9992600006401488,Petrus Lombardus,aut
996,9992600006501488,Aristoteles,aut
997,9992600007001488,Bartholomaeus de Martyribus,aut
998,9992600406501488,Guilelmus Peraldus,aut
999,9992600407001488,"Zasius, Johann Ulrich",aut
1000,9992600407401488,"Gribaldi, Matteo",aut
1001,9992608910301488,"Bunderius, Joannes",aut
1002,9992614509701488,"Ronchegallus Gioldus, Joannes",aut
1003,9992616205101488,"Cajetanus, Thomas de Vio",aut
1004,9992616205201488,Thomas Aquinas,aut
1005,9992616205301488,Thomas Aquinas,aut
1006,9992616205401488,Thomas Aquinas,aut
1007,99557680101488,"Antesignan, Pierre",edt
1008,99567340101488,"Despauterius, Joannes",aut
1009,99580490101488,Demosthenes.,aut
1010,99590790101488,"Lipsius, Justus",aut
1011,991456620101488,"Lipsius, Justus",aut
1012,991570530101488,"Vives, Juan Luis",aut
1013,991623120101488,"Robert, Jean",aut
1014,991629420101488,"Clenardus, Nicolaus",aut
1015,991676770101488,"Lipsius, Justus",aut
1016,991676810101488,"Lipsius, Justus",aut
1017,991957580101488,"Ragueau, François",aut
1018,992029470101488,"Titelmannus, Franciscus",aut
1019,992341420101488,"Mercier, Josias",aut
1020,992567580101488,"Smith, Richard",aut
1021,992657710101488,Aristoteles.,aut
1022,992825160101488,Euclides,aut
1023,992941820101488,"Santerna, Petrus.",aut
1024,992968950101488,Henri,dte
1025,993618490101488,"Lipsius, Justus",aut
1026,993726270101488,"Junctinus, Franciscus",edt
1027,993812600101488,"Gemma Frisius, Reinerus",aut
1028,994113460101488,Bartolus de Saxoferrato,aut
1029,994445760101488,"Curterius, Joannes",trl
1030,994643160101488,Charles,dte
1031,995090460101488,Georgius Pachymeres,aut
1032,995131560101488,"Stapleton, Thomas",aut
1033,995143050101488,"Vida, Marcus Hieronymus",aut
1034,995200990101488,"Erasmus Roterodamus, Desiderius",aut
1035,997602820101488,"Thevet, André",aut
1036,997604310101488,"Dalius, Nicolaus",ctb
1037,997840180101488,Vincentius Lirinensis.,aut
1038,997840420101488,Vincentius Lirinensis.,aut
1039,997840840101488,Clemens,aut
1040,997943090101488,Justinus Martyr,aut
1041,997984740101488,"Titelmannus, Franciscus",aut
1042,997984760101488,Demetrius Phalereus.,ctb
1043,998119840101488,Maximus Confessor,aut
1044,998119940101488,Georgius Pachymeres,aut
1045,998151540101488,"Augustinus, Aurelius",aut
1046,998153540101488,"Antesignanus, Petrus",aut
1047,998191130101488,"Apianus, Petrus",aut
1048,998435790101488,Henri,oth
1049,998459700101488,"Benoist, René",oth
1050,998517990101488,"Duret, Jean",aut
1051,998539420101488,"Canta, Jacobus",dte
1052,998871740101488,Lodewijk van Vlaanderen,dte
1053,999047690101488,"Le Ferron, Arnoul.",aut
1054,999081260101488,"Papon, Jean.",aut
1055,999100800101488,"Valerius, Cornelius",aut
1056,999157540101488,"Titelmannus, Franciscus",aut
1057,999294430101488,"Baudius, Dominicus",ctb
1058,999334910101488,"Mella, Camillus",edt
1059,999735740101488,"Van der Haer, Floris",aut
1060,999742750101488,"Echter von Mespelbrunn, Julius",dte
1061,999772410101488,"Amyot, Jacques",trl
1062,9910123060101488,"Amerbach, Veit",aut
1063,9910619640101488,"Sterck van Ringelberg, Joachim Fortius.",aut
1064,9910651020101488,"Bar, Petrus",eul
1065,9910664270101488,"Guilliaud, Claude",aut
1066,9910665280101488,Carolus III,dte
1067,9910668760101488,Baptista Mantuanus,aut
1068,9910669530101488,Theodoritus,aut
1069,9910675000101488,Accursius,aut
1070,9910675110101488,Accursius,aut
1071,9910675820101488,Accursius,aut
1072,9911011020101488,Pius,edt
1073,9911011390101488,"Crespet, Pierre",trl
1074,9911057980101488,"Titelmannus, Franciscus",aut
1075,9911101760101488,Epiphanius Salaminius.,aut
1076,9911101840101488,Guilelmus Peraldus,aut
1077,9911102920101488,Bernardus Claraevallensis,aut
1078,9911103180101488,"Berinzaga, Isabella Cristina",aut
1079,9911104940101488,"Augustinus, Aurelius",aow
1080,9911133210101488,Bonifatius,aut
1081,9911174310101488,"de Bourbon, François",dte
1082,9911208800101488,Ambrosius Mediolanensis,aut
1083,9911223170101488,Albertus Magnus,aut
1084,9911242850101488,"Gohory, Jacques.",trl
