Column,control number,personal name,personal name 1,personal name 2,personal name 3,personal relationship
239,9936983710101488,"Mellonus, Critonuis",Mellonus, Critonuis,,eul
240,9936984180101488,"Mancinus, Franciscus.",Mancinus, Franciscus.,,ctb
275,9937383770101488,"Dorat, Jean",Dorat, Jean,,ctb
278,9937433800101488,"de Saint-Julien, Pierre",de Saint-Julien, Pierre,,aut
280,9937435970101488,"Gollut, Jean-Baptiste",Gollut, Jean-Baptiste,,eul
284,9937453700101488,"Choart de Buzenval, Paul",Choart de Buzenval, Paul,,eul
295,9939420260101488,"van Brederode, Pieter Cornelisz",van Brederode, Pieter Cornelisz,,ann
296,9939421270101488,"Duchâtel, Pierre",Duchâtel, Pierre,,dte
310,9939489870101488,"Nizolius, Marius",Nizolius, Marius,,aow
311,9939490480101488,"von Kettenheim, Philipp.",von Kettenheim, Philipp.,,dte
312,9939496380101488,"Oporinus, Joannes",Oporinus, Joannes,,ctb
315,9939692170101488,"Passerat, Jean",Passerat, Jean,,eul
317,9939731250101488,Plutarchus Chaeronensis,Plutarchus Chaeronensis,,,aut
320,9940104540101488,"Mauroy, Franciscus",Mauroy, Franciscus,,eul
330,9940137270101488,"Aquevive Carraciolo, Susanne",Aquevive Carraciolo, Susanne,,dte
336,9970179020101488,Richardus de Sancto Victore.,Richardus de Sancto Victore.,,,aut
340,9974381610101488,"Syllas, Arnauld",Syllas, Arnauld,,eul
342,9974396890101488,"Marchant, Clément",Marchant, Clément,,com
364,9977139310101488,"Feuardent, François",Feuardent, François,,edt
377,9977376180101488,"du Monin, Jean Edouard",du Monin, Jean Edouard,,eul
429,9932495240101488,"Hyginus, Caius Iulius",Hyginus, Caius Iulius,,aut
435,9932505580101488,"Vettori, Pietro",Vettori, Pietro,,ann
436,9932512660101488,Cassiodorus,Cassiodorus,,,aut
438,9932516510101488,"Goulart, Simon",Goulart, Simon,,ann
449,9932542820101488,"White, Richard",White, Richard,,aut
475,9935205230101488,"Karnkowski, Stanislaus",Karnkowski, Stanislaus,,dte
487,9935238730101488,Mary,Mary,,,dte
640,9988210630101488,"Navagero, Bernardo",Navagero, Bernardo,,dte
687,9990920300101488,Palaephatus Mythographus,Palaephatus Mythographus,,,aut
714,9921530810101488,"du Plessis-Mornay, Philippe",du Plessis-Mornay, Philippe,,pub
740,9924541000101488,"Pamelius, Jacobus",Pamelius, Jacobus,,edt
744,9924932210101488,Joannes Lodoicus Tiletanus.,Joannes Lodoicus Tiletanus.,,,dte
765,9926757540101488,"Ricci, Bartolomeo",Ricci, Bartolomeo,,clb
771,9926840960101488,"Schede Melissus, Paulus",Schede Melissus, Paulus,,clb
773,9927165270101488,"d'Esne de Betencourt, Michel",d'Esne de Betencourt, Michel,,clb
782,9927486860101488,"Gulonius, Nicolas",Gulonius, Nicolas,,clb
791,9927684140101488,Salomon ben Isaac,Salomon ben Isaac,,,aut
841,9929073450101488,"Van Leeuwen, Thodorus",Van Leeuwen, Thodorus,,dte
844,9929102160101488,"Hubert, J.",Hubert, J.,,ctb
876,9931145760101488,"Vives, Juan Luis",Vives, Juan Luis,,aut
981,9992500608701488,"Calcagnini, Celio",Calcagnini, Celio,,ann
1028,994113460101488,"Parisio, Pierpaolo",Parisio, Pierpaolo,,edt
1036,997604310101488,"Schuermannus, Gaspard",Schuermannus, Gaspard,,ctb
1057,999294430101488,"Vulcanius, Bonaventura",Vulcanius, Bonaventura,,ctb
1080,9911133210101488,"Lancelotti, Giovanni Paolo",Lancelotti, Giovanni Paolo,,ctb
1096,9911793110101488,"Critton, George",Critton, George,,eul
1098,9911865340101488,"Moschus, Franciscus",Moschus, Franciscus,,eul
128,9915208790101488,"Wedius, Joannes",Wedius, Joannes,,ctb
131,9916067400101488,"Martin, Jean",Martin, Jean,,trl
197,9919668830101488,Richardus de Sancto Victore.,Richardus de Sancto Victore.,,,aut
202,9935346840101488,"Gazet, Guillaume",Gazet, Guillaume,,eul
204,9935350380101488,"Du Haillan, Bernard de Girard",Du Haillan, Bernard de Girard,,eul
216,9935398840101488,"Picard, Jean",Picard, Jean,,eul
231,9935460440101488,"Noyardus, Michael",Noyardus, Michael,,eul
238,9936967680101488,"de Arena, Jacobus",de Arena, Jacobus,,ctb
